iter	Passed	Remaining
177	45070	2486959
178	45308	2485902
179	45580	2486692
180	45820	2485691
181	46053	2484338
182	46272	2482296
183	46509	2481207
184	46734	2479467
185	46944	2476952
186	47154	2474467
187	47378	2472759
188	47607	2471309
189	47828	2469439
190	48054	2467884
191	48275	2466086
192	48516	2465284
193	48747	2463997
194	48983	2462989
195	49214	2461709
196	49449	2460680
197	49649	2457913
198	49854	2455412
199	50088	2454340
200	50286	2451509
201	50538	2451377
202	50761	2449784
203	50976	2447861
204	51173	2445080
205	51393	2443442
206	51631	2442629
207	51833	2440161
208	52053	2438529
209	52271	2436843
210	52504	2435877
211	52716	2433922
212	52945	2432737
213	53157	2430857
214	53373	2429123
215	53612	2428453
216	53816	2426224
217	54031	2424492
218	54242	2422584
219	54507	2423117
220	54718	2421249
221	54941	2419915
222	55146	2417787
223	55347	2415507
224	55572	2414298
225	55799	2413220
226	56011	2411456
227	56238	2410372
228	56441	2408263
229	56677	2407575
230	56893	2406015
231	57115	2404750
232	57326	2403034
233	57567	2402585
234	57799	2401764
235	58006	2399915
236	58223	2398460
237	58431	2396661
238	58672	2396251
239	58880	2394467
240	59098	2393130
241	59308	2391441
242	59512	2389557
243	59757	2389302
244	59961	2387451
245	60185	2386364
246	60393	2384702
247	60621	2383788
248	60848	2382852
249	61059	2381302
250	61284	2380344
251	61497	2378895
252	61726	2378075
253	61927	2376178
254	62161	2375558
255	62547	2380732
256	62869	2383414
257	63092	2382361
258	63327	2381741
259	63540	2380331
260	63767	2379430
261	63988	2378303
262	64201	2376926
263	64424	2375887
264	64629	2374205
265	64864	2373633
266	65101	2373159
267	65325	2372195
268	65554	2371401
269	65767	2370082
270	66011	2369828
271	66220	2368363
272	66449	2367594
273	66673	2366662
274	66895	2365657
275	67128	2365077
276	67337	2363622
277	67571	2363058
278	67790	2361977
279	68032	2361693
280	68247	2360473
281	68462	2359282
282	68690	2358535
283	69024	2361416
284	69306	2362490
285	69530	2361617
286	69764	2361048
287	70011	2360959
288	70295	2362086
289	70601	2363930
290	70851	2363909
291	71112	2364250
292	71333	2363254
293	71583	2363230
294	71806	2362327
295	72053	2362175
296	72268	2361024
297	72475	2359596
298	72706	2358951
299	72926	2357964
300	73164	2357547
301	73374	2356240
302	73588	2355086
303	73802	2353905
304	74019	2352853
305	74344	2355223
306	74600	2355393
307	74854	2355489
308	75076	2354571
309	75296	2353635
310	75511	2352518
311	75807	2353906
312	76077	2354503
313	76357	2355412
314	76591	2354898
315	76818	2354134
316	77152	2356683
317	77410	2356890
318	77623	2355709
319	77854	2355113
320	78079	2354289
321	78366	2355371
322	78607	2355066
323	78856	2354982
324	79074	2354000
325	79349	2354690
326	79595	2354531
327	79849	2354573
328	80120	2355154
329	80387	2355587
330	80633	2355418
331	80896	2355759
332	81113	2354718
333	81377	2355088
334	81593	2354023
335	81805	2352878
336	82031	2352140
337	82236	2350790
338	82511	2351458
339	82728	2350473
340	83003	2351105
341	83232	2350461
342	83490	2350631
343	83738	2350519
344	83997	2350706
345	84243	2350534
346	84464	2349667
347	84682	2348712
348	84894	2347609
349	85141	2347476
350	85412	2347986
351	85697	2348880
352	85949	2348869
353	86326	2352272
